Postcode,Latitude,Longitude,Easting,Northing,GridRef,County,District,Ward,DistrictCode,WardCode,Country,CountyCode,Constituency,Introduced,Terminated,Parish,NationalPark,Population,Households,Built up area,Built up sub-division,Lower layer super output area,Rural/urban,Region
G32 8FD,55.833484,-4.171148,264115,662160,NS641621,,Glasgow City,Shettleston, S12000046,S13002659,Scotland,S99999999,Glasgow East,01/12/1999,,,,,,,,Shettleston South - 03,Large urban area,
G32 8FE,55.833768,-4.166773,264390,662183,NS643621,,Glasgow City,Shettleston, S12000046,S13002659,Scotland,S99999999,Glasgow East,01/12/2001,,,,,,,,Shettleston South - 03,Large urban area,
G32 8FF,55.843676,-4.172164,264087,663296,NS640632,,Glasgow City,Shettleston, S12000046,S13002659,Scotland,S99999999,Glasgow East,01/08/2010,,,,1,1,,,Braidfauld - 03,Large urban area,
G32 8FG,55.833892,-4.162308,264670,662188,NS646621,,Glasgow City,Shettleston, S12000046,S13002659,Scotland,S99999999,Glasgow East,01/06/2001,,,,,,,,Shettleston South - 03,Large urban area,
G32 8FH,55.829401,-4.175424,263833,661714,NS638617,,Glasgow City,Shettleston, S12000046,S13002659,Scotland,S99999999,Glasgow East,01/08/2008,,,,0,0,,,Shettleston South - 03,Large urban area,
G32 8HA,55.842837,-4.165728,264487,663190,NS644631,,Glasgow City,Shettleston, S12000046,S13002659,Scotland,S99999999,Glasgow East,01/01/1980,,,,0,0,,,Braidfauld - 01,Large urban area,
G32 8HB,55.843452,-4.169564,264249,663266,NS642632,,Glasgow City,Shettleston, S12000046,S13002659,Scotland,S99999999,Glasgow East,01/01/1980,,,,10,5,,,Braidfauld - 01,Large urban area,
G32 8HD,55.84316,-4.170841,264168,663236,NS641632,,Glasgow City,Shettleston, S12000046,S13002659,Scotland,S99999999,Glasgow East,01/01/1980,,,,0,0,,,Braidfauld - 03,Large urban area,
G32 8HE,55.842779,-4.168999,264282,663190,NS642631,,Glasgow City,Shettleston, S12000046,S13002659,Scotland,S99999999,Glasgow East,01/01/1980,,,,39,21,,,Braidfauld - 01,Large urban area,
G32 8HF,55.840662,-4.169297,264256,662955,NS642629,,Glasgow City,Shettleston, S12000046,S13002659,Scotland,S99999999,Glasgow East,01/07/2002,,,,145,58,,,Braidfauld - 01,Large urban area,
G32 8HG,55.841994,-4.169195,264267,663103,NS642631,,Glasgow City,Shettleston, S12000046,S13002659,Scotland,S99999999,Glasgow East,01/01/1980,,,,64,38,,,Braidfauld - 01,Large urban area,
G32 8HH,55.842187,-4.164382,264569,663115,NS645631,,Glasgow City,Shettleston, S12000046,S13002659,Scotland,S99999999,Glasgow East,01/01/1980,,,,6,4,,,Shettleston South - 01,Large urban area,
G32 8HJ,55.839718,-4.161641,264732,662835,NS647628,,Glasgow City,Shettleston, S12000046,S13002659,Scotland,S99999999,Glasgow East,01/01/1980,,,,102,54,,,Shettleston South - 01,Large urban area,
G32 8HL,55.840534,-4.160713,264793,662924,NS647629,,Glasgow City,Shettleston, S12000046,S13002659,Scotland,S99999999,Glasgow East,01/01/1980,,,,34,9,,,Shettleston South - 01,Large urban area,
G32 8HN,55.839265,-4.160818,264782,662783,NS647627,,Glasgow City,Shettleston, S12000046,S13002659,Scotland,S99999999,Glasgow East,01/01/1980,,,,32,10,,,Shettleston South - 01,Large urban area,
G32 8HP,55.839523,-4.169153,264261,662828,NS642628,,Glasgow City,Shettleston, S12000046,S13002659,Scotland,S99999999,Glasgow East,01/06/2002,,,,91,33,,,Shettleston South - 01,Large urban area,
