Postcode,Latitude,Longitude,Easting,Northing,GridRef,County,District,Ward,DistrictCode,WardCode,Country,CountyCode,Constituency,Introduced,Terminated,Parish,NationalPark,Population,Households,Built up area,Built up sub-division,Lower layer super output area,Rural/urban,Region
EH4 6JA,55.975406,-3.298046,319091,676584,NT190765,,City of Edinburgh,Almond, S12000036,S13002583,Scotland,S99999999,Edinburgh West,01/01/1980,,,,39,20,,,Cramond - 01,Large urban area,
EH4 6JE,55.973328,-3.294835,319287,676349,NT192763,,City of Edinburgh,Almond, S12000036,S13002583,Scotland,S99999999,Edinburgh West,01/01/1980,,,,47,27,,,Cramond - 01,Large urban area,
EH4 6JF,55.967448,-3.279643,320223,675677,NT202756,,City of Edinburgh,Almond, S12000036,S13002583,Scotland,S99999999,Edinburgh West,01/01/1980,,,,29,9,,,Siverknowes and Davidson's Mains - 06,Large urban area,
EH4 6JG,55.96665,-3.282917,320017,675592,NT200755,,City of Edinburgh,Almond, S12000036,S13002583,Scotland,S99999999,Edinburgh West,01/01/1980,,,,9,4,,,Siverknowes and Davidson's Mains - 06,Large urban area,
EH4 6JH,55.967843,-3.283998,319952,675726,NT199757,,City of Edinburgh,Almond, S12000036,S13002583,Scotland,S99999999,Edinburgh West,01/01/1980,,,,13,3,,,Siverknowes and Davidson's Mains - 06,Large urban area,
EH4 6JJ,55.965848,-3.288321,319678,675509,NT196755,,City of Edinburgh,Almond, S12000036,S13002583,Scotland,S99999999,Edinburgh West,01/01/1980,,,,47,17,,,Siverknowes and Davidson's Mains - 06,Large urban area,
EH4 6JL,55.966901,-3.288148,319691,675626,NT196756,,City of Edinburgh,Almond, S12000036,S13002583,Scotland,S99999999,Edinburgh West,01/01/1980,,,,41,14,,,Siverknowes and Davidson's Mains - 06,Large urban area,
EH4 6JN,55.975108,-3.303244,318766,676557,NT187765,,City of Edinburgh,Almond, S12000036,S13002583,Scotland,S99999999,Edinburgh West,01/06/1994,,,,14,7,,,Cramond - 02,Large urban area,
EH4 6JP,55.963949,-3.284333,319923,675293,NT199752,,City of Edinburgh,Almond, S12000036,S13002583,Scotland,S99999999,Edinburgh West,01/01/1980,,,,,,,,Siverknowes and Davidson's Mains - 06,Large urban area,
EH4 6JQ,55.966253,-3.283144,320002,675548,NT200755,,City of Edinburgh,Almond, S12000036,S13002583,Scotland,S99999999,Edinburgh West,01/01/1980,,,,13,4,,,Siverknowes and Davidson's Mains - 06,Large urban area,
EH4 6JR,55.967448,-3.283104,320007,675681,NT200756,,City of Edinburgh,Almond, S12000036,S13002583,Scotland,S99999999,Edinburgh West,01/01/1980,,,,0,0,,,Siverknowes and Davidson's Mains - 06,Large urban area,
EH4 6JT,55.970921,-3.306644,318545,676095,NT185760,,City of Edinburgh,Almond, S12000036,S13002583,Scotland,S99999999,Edinburgh West,01/01/1980,,,,4,2,,,Cramond - 03,Large urban area,
EH4 6JU,55.970739,-3.307727,318477,676076,NT184760,,City of Edinburgh,Almond, S12000036,S13002583,Scotland,S99999999,Edinburgh West,01/01/1980,,,,5,2,,,Cramond - 03,Large urban area,
EH4 6JW,55.964972,-3.284495,319915,675407,NT199754,,City of Edinburgh,Almond, S12000036,S13002583,Scotland,S99999999,Edinburgh West,01/01/1980,,,,4,1,,,Siverknowes and Davidson's Mains - 06,Large urban area,
EH4 6JX,55.970537,-3.30982,318346,676056,NT183760,,City of Edinburgh,Almond, S12000036,S13002583,Scotland,S99999999,Edinburgh West,01/01/1980,,,,91,39,,,Cramond - 03,Large urban area,
EH4 6JY,55.969738,-3.312244,318193,675970,NT181759,,City of Edinburgh,Almond, S12000036,S13002583,Scotland,S99999999,Edinburgh West,01/01/1980,,,,14,6,,,Cramond - 03,Large urban area,
EH4 6LA,55.968556,-3.308503,318424,675834,NT184758,,City of Edinburgh,Almond, S12000036,S13002583,Scotland,S99999999,Edinburgh West,01/01/1980,,,,26,7,,,"Barnton, Cammo and Cramond South - 01",Large urban area,
EH4 6LB,55.968275,-3.307901,318461,675802,NT184758,,City of Edinburgh,Almond, S12000036,S13002583,Scotland,S99999999,Edinburgh West,01/01/1980,,,,16,6,,,Cramond - 03,Large urban area,
EH4 6LD,55.97101,-3.305894,318592,676104,NT185761,,City of Edinburgh,Almond, S12000036,S13002583,Scotland,S99999999,Edinburgh West,01/06/1996,,,,13,4,,,Cramond - 03,Large urban area,
EH4 6LE,55.967747,-3.309341,318370,675745,NT183757,,City of Edinburgh,Almond, S12000036,S13002583,Scotland,S99999999,Edinburgh West,01/01/1980,,,,9,4,,,"Barnton, Cammo and Cramond South - 01",Large urban area,
EH4 6LF,55.966977,-3.309924,318332,675660,NT183756,,City of Edinburgh,Almond, S12000036,S13002583,Scotland,S99999999,Edinburgh West,01/01/1980,,,,29,9,,,"Barnton, Cammo and Cramond South - 01",Large urban area,
EH4 6LG,55.96722,-3.310781,318279,675688,NT182756,,City of Edinburgh,Almond, S12000036,S13002583,Scotland,S99999999,Edinburgh West,01/01/1980,,,,18,6,,,"Barnton, Cammo and Cramond South - 01",Large urban area,
